Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP
AR00018489799849541633,JOHN WATTS CAMPAIGN COMMITTEE,EIN ID 85-2617503,US,,2,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00206210691370057729,FPÖ Steyr,,AT,,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16776384013295157249,MICHAEL WALTZ FOR CONGRESS,FEC ID C00666396,US,,28,34600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18356303057572069377,ROSEMARY BAYER FOR SENATE ℅ ROSEMARY K BAYER,EIN ID 82-2269544,US,,40,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12330567226657603585,Peter Sherr for CT House,Registered in US-CT ,US,,9,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12471454248594309121,Ouidad Bakkali,,"AT, BE, DE, DK, ES, FR, IE, IT, LU, NL",,18,0,150,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12745077200454156289,Liberalų sąjūdis,,LT,,18,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09505712535374921729,"Chris Miller for Jacksonville City Council, At-Large, Group 5",,US,,4,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05703640908944113665,Keck for Kentucky,EIN ID 92-1014080,US,,10,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09016237102882357249,MAJORITY RISING NC,EIN ID 87-4783603,US,,16,69400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04446553459428163585,CONSUMER CREDIT CARD PROTECTION COALITION,EIN ID 92-0903034,US,,71,125700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00622522592925843457,HDZ-A PRIMORSKO GORANSKE ŽUPANIJE,,"AT, BE, CY, CZ, DE, DK, ES, FI, FR, HR, IE, IT, LU, NL, RO, SE, SI",,100,0,3250,0,0,1500,500,0,0,250,1000,0,0,0,0,0,0,0,0,0
AR18342229549254705153,CHRIS HYSER FOR CONGRESS,FEC ID C00831743,US,,9,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08573210332946759681,Maria Kovacic,,AU,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,10050,0,0,0,0,0
AR05130965087980355585,Friends of Sara Knizhnik,EIN ID 87-4123729,US,,2,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
